timestamps,load,wind_generation,solar_generation,spot_price
2019-12-19T17:00:00.0,426.7425683951759,164.62517118024687,-0.0,0.3895
2019-12-19T18:00:00.0,427.49242600721635,138.61566802226616,-0.0,0.37960000000000005
2019-12-19T19:00:00.0,430.93119066621585,122.76662141100967,-0.0,0.3693
2019-12-19T20:00:00.0,401.5249868058944,49.884115618969695,-0.0,0.3595
2019-12-19T21:00:00.0,385.2146942942973,55.491061290595724,-0.0,0.3414
2019-12-19T22:00:00.0,375.83927802228726,78.19153389644947,-0.0,0.3283
2019-12-19T23:00:00.0,343.227845975841,61.19134839656307,-0.0,0.3233
2019-12-20T00:00:00.0,344.5378142827163,73.53663304117178,-0.0,0.3225
2019-12-20T01:00:00.0,338.320503520791,58.53850926413487,-0.0,0.32259999999999994
2019-12-20T02:00:00.0,336.5649114644239,31.31812261864733,-0.0,0.3194
2019-12-20T03:00:00.0,337.88252423859944,35.35487775653121,-0.0,0.338
2019-12-20T04:00:00.0,354.6699150200342,91.74612866000797,-0.0,0.35990000000000005
2019-12-20T05:00:00.0,379.1993010696635,94.36798779011157,-0.0,0.3668
2019-12-20T06:00:00.0,393.5376019031824,121.09171995164701,-0.0,0.37560000000000004
2019-12-20T07:00:00.0,396.6035925066327,128.76891334188954,-0.0,0.38130000000000003
2019-12-20T08:00:00.0,401.7269828203578,111.17256109390166,0.054884286071318705,0.3805
2019-12-20T09:00:00.0,374.0463831160762,69.53519931182194,2.4281829817679825,0.37939999999999996
2019-12-20T10:00:00.0,391.42065093343706,53.58104761165968,5.854814096015822,0.37939999999999996
2019-12-20T11:00:00.0,402.43542455228646,54.153366003415236,6.824878768603066,0.37770000000000004
2019-12-20T12:00:00.0,398.4126187452053,56.599855924602856,3.846972819528405,0.3759
2019-12-20T13:00:00.0,397.2788008207679,27.866553465916898,2.2278528613885014,0.3749
2019-12-20T14:00:00.0,415.9829239888876,35.31133317234348,0.0,0.37420000000000003
2019-12-20T15:00:00.0,437.69073011036454,16.83652774276325,-0.0,0.37460000000000004
2019-12-20T16:00:00.0,452.4022564923791,34.26596622920038,-0.0,0.3745
2019-12-20T17:00:00.0,448.44386049429556,42.20371303942213,-0.0,0.37479999999999997
2019-12-20T18:00:00.0,454.0925835023219,37.491330430709425,-0.0,0.37
2019-12-20T19:00:00.0,395.2986881275285,20.386493000225784,-0.0,0.3616
2019-12-20T20:00:00.0,385.1018230113268,33.38388292117017,-0.0,0.3578
